id,brand,model,price_pkr,price_usd,ram_gb,storage_gb,processor,display,camera,battery,os,market_status,rating,num_reviews,popularity_score,release_year,rag_content
1001,Motorola,Motorola Edge 30 Ultra Max,266999,958.7,6,128,Dimensity 7020,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 45W Fast Charging,"Android 13, MyUX",Available,4.0,1125,65.9,2024,"Mobile Model: Motorola Edge 30 Ultra Max
Brand: Motorola
Official Price: Rs. 266,999
Status: Available
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Dimensity 7020
Operating System: Android 13, MyUX
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1002,Tecno,Tecno Spark 20 5G,29999,107.72,8,256,Dimensity 7020,"6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5000 mAh (non-removable) with 33W Fast Charging,"Android 12, HIOS 12",Available,4.8,457,58.1,2024,"Mobile Model: Tecno Spark 20 5G
Brand: Tecno
Official Price: Rs. 29,999
Status: Available
RAM & Storage: 8GB RAM / 256GB Internal Storage
Processor: Dimensity 7020
Operating System: Android 12, HIOS 12
Display: 6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1003,Infinix,Infinix Smart 8 Plus Neo,96999,348.29,4,128,Helio G88,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front,6000 mAh (non-removable) with 70W Fast Charging,"Android 12, XOS 10.6",Available,4.5,1028,88.8,2025,"Mobile Model: Infinix Smart 8 Plus Neo
Brand: Infinix
Official Price: Rs. 96,999
Status: Available
RAM & Storage: 4GB RAM / 128GB Internal Storage
Processor: Helio G88
Operating System: Android 12, XOS 10.6
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1004,Huawei,Huawei Nova 12 Ultra SE,458999,1648.11,12,256,Kirin 9010,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5500 mAh (non-removable) with 100W HyperCharge,EMUI 14.2 / HarmonyOS 4.2,Available,4.3,1367,56.1,2024,"Mobile Model: Huawei Nova 12 Ultra SE
Brand: Huawei
Official Price: Rs. 458,999
Status: Available
RAM & Storage: 12GB RAM / 256GB Internal Storage
Processor: Kirin 9010
Operating System: EMUI 14.2 / HarmonyOS 4.2
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
1005,Google,Google Pixel 7 Ultra,330000,1184.92,6,128,Google Tensor G3,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,5000 mAh (non-removable) with 45W Fast Charging,Android 13,Available,3.6,1174,81.4,2021,"Mobile Model: Google Pixel 7 Ultra
Brand: Google
Official Price: Rs. 330,000
Status: Available
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Google Tensor G3
Operating System: Android 13
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1006,Samsung,Samsung Galaxy F SE,405999,1457.81,12,256,Snapdragon 778G,"6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5000 mAh (non-removable) with 33W Fast Charging,"Android 11, One UI 3.1",Coming Soon,3.6,368,56.1,2022,"Mobile Model: Samsung Galaxy F SE
Brand: Samsung
Official Price: Rs. 405,999
Status: Coming Soon
RAM & Storage: 12GB RAM / 256GB Internal Storage
Processor: Snapdragon 778G
Operating System: Android 11, One UI 3.1
Display: 6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1007,Realme,Realme GT 5 Pro v4,113999,409.33,8,256,Helio G85,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,5500 mAh (non-removable) with 100W HyperCharge,"Android 12, Realme UI 3.0",Discontinued,3.5,285,53.5,2025,"Mobile Model: Realme GT 5 Pro v4
Brand: Realme
Official Price: Rs. 113,999
Status: Discontinued
RAM & Storage: 8GB RAM / 256GB Internal Storage
Processor: Helio G85
Operating System: Android 12, Realme UI 3.0
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
1008,Oppo,Oppo Reno 11F Lite,242000,868.94,3,32,Snapdragon 680,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 14, ColorOS 14",Upcoming,4.7,1054,95.0,2025,"Mobile Model: Oppo Reno 11F Lite
Brand: Oppo
Official Price: Rs. 242,000
Status: Upcoming
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Snapdragon 680
Operating System: Android 14, ColorOS 14
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
1009,Tecno,Tecno Camon 30 5G,21000,75.4,4,64,Dimensity 9000+,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",108 MP (wide) + 2 MP (depth) | 16 MP Front,5000 mAh (non-removable) with 18W Fast Charging,"Android 14, HIOS 14",Available,4.3,322,59.4,2025,"Mobile Model: Tecno Camon 30 5G
Brand: Tecno
Official Price: Rs. 21,000
Status: Available
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Dimensity 9000+
Operating System: Android 14, HIOS 14
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 108 MP (wide) + 2 MP (depth) | 16 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
1010,Apple,Apple iPhone XR Plus,577000,2071.81,12,512,Apple A11 Bionic,"6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5000 mAh (non-removable) with 18W Fast Charging,iOS 16,Upcoming,4.5,881,90.7,2022,"Mobile Model: Apple iPhone XR Plus
Brand: Apple
Official Price: Rs. 577,000
Status: Upcoming
RAM & Storage: 12GB RAM / 512GB Internal Storage
Processor: Apple A11 Bionic
Operating System: iOS 16
Display: 6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
